subject,section,title,source_url,download_url,output_path,status,note,sha256,bytes
matematicas_aplicadas_ccss_ii,Convocatoria Ordinaria,Matemáticas Aplicadas a las Ciencias Sociales 2023-2024,https://drive.google.com/file/d/1vK39Cu4EVSpjrCv_qHdDPzVu5Pp6rLcl/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1vK39Cu4EVSpjrCv_qHdDPzVu5Pp6rLcl,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_ordinaria/matematicas_aplicadas_ccss_ii_2023_2024.pdf,downloaded,,940a4f473b498810494345f029141539a746d65f7cfc51967cd71cfcf88ca95e,630217
matematicas_aplicadas_ccss_ii,Convocatoria Ordinaria,MAACCSS II 2022-2023 coincidencias,https://drive.google.com/file/d/1G65QK9QiA0iMr_BeYcuTtmWEhVfye0n4/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1G65QK9QiA0iMr_BeYcuTtmWEhVfye0n4,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_ordinaria/matematicas_aplicadas_ccss_ii_2022_2023_coincidencias.pdf,downloaded,,4903ce9453e1542690df6cc6907e80b3428b6fa25dc0372cc04a85e67e92c9a7,237141
matematicas_aplicadas_ccss_ii,Convocatoria Ordinaria,MAACCSS II 2022-2023,https://drive.google.com/file/d/14oJt3fFrXJqBS2rf54dMvoQHKZG2bAcn/view?usp=drive_link,https://drive.google.com/uc?export=download&id=14oJt3fFrXJqBS2rf54dMvoQHKZG2bAcn,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_ordinaria/matematicas_aplicadas_ccss_ii_2022_2023.pdf,downloaded,,1a2aa25a8b1e0ee3f585e76d4b07ed7cd03d0194ca9859564dfac2d6417d2c66,763080
matematicas_aplicadas_ccss_ii,Convocatoria Ordinaria,MAACCSS II 2021-2022,https://drive.google.com/file/d/177YUeSpplDwAuFEWOxJEGMRM_x1MyxJg/view?usp=sharing,https://drive.google.com/uc?export=download&id=177YUeSpplDwAuFEWOxJEGMRM_x1MyxJg,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_ordinaria/matematicas_aplicadas_ccss_ii_2021_2022.pdf,downloaded,,d631c45f31074d16e5db6df247e808bbc609835dc015c5638ef6861be07a3e9c,799452
matematicas_aplicadas_ccss_ii,Convocatoria Ordinaria,MAACCSS II 2020-2021,https://drive.google.com/file/d/14ywOB36X8dPVOsCTx2rUuZwth33o8eOx/view?usp=sharing,https://drive.google.com/uc?export=download&id=14ywOB36X8dPVOsCTx2rUuZwth33o8eOx,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_ordinaria/matematicas_aplicadas_ccss_ii_2020_2021.pdf,downloaded,,293ed80d4452343cbf48a1cd8468a9f0c78c8441803936704f085f8403e1aad9,406955
matematicas_aplicadas_ccss_ii,Convocatoria Ordinaria,MAACCSS II 2020-2021 coincidencias,https://drive.google.com/file/d/1ztvKq1gcgHSS01hdnG9dMUvs6Y7Ck4Xf/view?usp=sharing,https://drive.google.com/uc?export=download&id=1ztvKq1gcgHSS01hdnG9dMUvs6Y7Ck4Xf,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_ordinaria/matematicas_aplicadas_ccss_ii_2020_2021_coincidencias.pdf,downloaded,,79d86f9f4faabc8cbce92aa3f00f94c4d653f1db660ab1775c6c01dd350d4a80,340988
matematicas_aplicadas_ccss_ii,Convocatoria Ordinaria,MAACCSS II 2019-2020,https://drive.google.com/file/d/1fZy_GW3NFD0sPyIQYGl0GMwHEZKG1rDv/view?usp=sharing,https://drive.google.com/uc?export=download&id=1fZy_GW3NFD0sPyIQYGl0GMwHEZKG1rDv,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_ordinaria/matematicas_aplicadas_ccss_ii_2019_2020.pdf,downloaded,,bed745f0e9e34b9d5c41311b1deef57059caaaacf32a818d480d9328d2a0ae99,766644
matematicas_aplicadas_ccss_ii,Convocatoria Ordinaria,MAACCSS II,https://drive.google.com/file/d/1ftkMwWMt2Mi8XL74xpuY1UsEJCzKKwvb/view?usp=sharing,https://drive.google.com/uc?export=download&id=1ftkMwWMt2Mi8XL74xpuY1UsEJCzKKwvb,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_ordinaria/maaccss_ii.pdf,downloaded,,9d3af0feedcc2870814553dd58185441e967aec5748e7a182fdfc2b48aef2507,254411
matematicas_aplicadas_ccss_ii,Convocatoria Ordinaria,MAACCSS II 2018-2019,https://drive.google.com/file/d/13MSLx_mE75luwnw92tuzLRVqoSvDQCAm/view?usp=sharing,https://drive.google.com/uc?export=download&id=13MSLx_mE75luwnw92tuzLRVqoSvDQCAm,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_ordinaria/matematicas_aplicadas_ccss_ii_2018_2019.pdf,downloaded,,a097ce6ec1596e0c5e7b66e2de9f86fb81a1b7d728460e2d8c176c1357fff07c,134368
matematicas_aplicadas_ccss_ii,Convocatoria Ordinaria,MAACCSS II 2017-2018,https://drive.google.com/file/d/1XGBQp4xZZxWYsAWxaMFZvXHuV3zWDn8g/view?usp=sharing,https://drive.google.com/uc?export=download&id=1XGBQp4xZZxWYsAWxaMFZvXHuV3zWDn8g,examenes_pau/matematicas/matematicas_aplicadas_ccss_ii/convocatoria_ordinaria/matematicas_aplicadas_ccss_ii_2017_2018.pdf,downloaded,,51254142f6eca4c4bdce50602c2d37065b361a99e806b9deca7ea89951c66452,392993
