subject,section,title,source_url,download_url,output_path,status,note,sha256,bytes
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2023-2024 coincidencias,https://drive.google.com/file/d/15fBckmplmSn5L40nhWWLWtIyhpdATkyJ/view?usp=drive_link,https://drive.google.com/uc?export=download&id=15fBckmplmSn5L40nhWWLWtIyhpdATkyJ,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2023_2024_coincidencias.pdf,exists,already present; use --overwrite to replace,ac5227e93fb70ac239c5173d11e960518b65df9baae3a15974ed4dd247daa604,561366
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2023-2024,https://drive.google.com/file/d/1NNpEZMQLZq2TBmX5JhIZX66ryhMNQ-Q4/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1NNpEZMQLZq2TBmX5JhIZX66ryhMNQ-Q4,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2023_2024.pdf,exists,already present; use --overwrite to replace,0f93ee880601bc2af996c3280d3d73bb800ddc3891704769dfb5af3fceef8d04,523670
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2022-2023 coincidencias,https://drive.google.com/file/d/134QFgrfr2TUry5lytsqRIMJ-kuRZiIBk/view?usp=drive_link,https://drive.google.com/uc?export=download&id=134QFgrfr2TUry5lytsqRIMJ-kuRZiIBk,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2022_2023_coincidencias.pdf,exists,already present; use --overwrite to replace,51daa288cb8c1278e413618f731f9b41cc2bda9c1d8e8d1cb95dafbb89a6dfda,241673
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2022-2023,https://drive.google.com/file/d/1crte0zTO2D36BhIdVqN2KQQeKjUv8It9/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1crte0zTO2D36BhIdVqN2KQQeKjUv8It9,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2022_2023.pdf,exists,already present; use --overwrite to replace,a04bd8f1adcfccfef7ed051138431ff52cfa1e81dfdda66a320c8b414f8575d7,242490
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2021-2022 Coincidencias,https://drive.google.com/file/d/1jW7DbxtNvXDtHYPE18aI1ydEKAllmeQa/view?usp=sharing,https://drive.google.com/uc?export=download&id=1jW7DbxtNvXDtHYPE18aI1ydEKAllmeQa,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2021_2022_coincidencias.pdf,exists,already present; use --overwrite to replace,ef4539fe62d2a0844c1255e8f9eb7f330ae02254cdcbb9b9c27c2ef7a75c061f,234843
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2021-2022,https://drive.google.com/file/d/1N-NmTU8OnMJOmc9Au04wsw61Oep0TQJg/view?usp=sharing,https://drive.google.com/uc?export=download&id=1N-NmTU8OnMJOmc9Au04wsw61Oep0TQJg,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2021_2022.pdf,exists,already present; use --overwrite to replace,9922537d9f56a0d81d47e1437450c2e73391c6a420fbaae0a97f1186c803785c,225380
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2020-2021,https://drive.google.com/file/d/1F1zHKCQFbYvLEP_6v3O4YiA1dIH2kTYA/view?usp=sharing,https://drive.google.com/uc?export=download&id=1F1zHKCQFbYvLEP_6v3O4YiA1dIH2kTYA,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2020_2021.pdf,exists,already present; use --overwrite to replace,5665ffab83c2a919bfd7a42dfa11c460f6e661d59acd944d42ae851cffb8562a,275666
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2019-2020,https://drive.google.com/file/d/1wvyHJGtwmC-ZWK2J0raGIPpdPPdy1kOO/view?usp=sharing,https://drive.google.com/uc?export=download&id=1wvyHJGtwmC-ZWK2J0raGIPpdPPdy1kOO,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2019_2020.pdf,exists,already present; use --overwrite to replace,f2cb3b3a56e0fb222e9547fac3540cc16104e59bc7dc92dc82479c9421df1ec8,166885
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2019-2020 coincidencias,https://drive.google.com/file/d/1VUL3qyfouCCTWtheEO_Wa1hHAU19BVAt/view?usp=sharing,https://drive.google.com/uc?export=download&id=1VUL3qyfouCCTWtheEO_Wa1hHAU19BVAt,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2019_2020_coincidencias.pdf,exists,already present; use --overwrite to replace,b43778cbe2fcc56cca4ffd871cec389367abe7726222e196bf7fd5983028c617,218013
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2018-2019,https://drive.google.com/file/d/1DmNk-CkaaMJA2AyDPG92PovM794PMK4f/view?usp=sharing,https://drive.google.com/uc?export=download&id=1DmNk-CkaaMJA2AyDPG92PovM794PMK4f,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2018_2019.pdf,exists,already present; use --overwrite to replace,d0a31f5c5606304c084bddd3ee30d5a876eca99379a0356d4932c28a42385097,200657
matematicas_ii,Convocatoria Ordinaria,Matemáticas II 2017-2018,https://drive.google.com/file/d/1WxJAHcCShk5-kbt81ZrtZktFFxlcnHKM/view?usp=sharing,https://drive.google.com/uc?export=download&id=1WxJAHcCShk5-kbt81ZrtZktFFxlcnHKM,examenes_pau/matematicas/matematicas_ii/convocatoria_ordinaria/matematicas_ii_2017_2018.pdf,exists,already present; use --overwrite to replace,1249316e46c80f87df342096b8a145f892eb2af76afed54118ff4d3779dd4336,190586
matematicas_ii,Convocatoria Extraordinaria,Matemáticas II 2024-2025 coincidencias,https://drive.google.com/file/d/1mgvewPG4Rr4uudhVjdQ2RUxcf6mM56aa/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1mgvewPG4Rr4uudhVjdQ2RUxcf6mM56aa,examenes_pau/matematicas/matematicas_ii/convocatoria_extraordinaria/matematicas_ii_2024_2025_coincidencias.pdf,exists,already present; use --overwrite to replace,cb1ace4ea412f837183d685c8ebd1e40f882b0fd5443b5fcb79ce327fcd719b8,537796
matematicas_ii,Convocatoria Extraordinaria,Matemáticas II 2024-2025,https://drive.google.com/file/d/1cCGgsASoB6nGCUNzaMq6B6dWgj39W8uN/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1cCGgsASoB6nGCUNzaMq6B6dWgj39W8uN,examenes_pau/matematicas/matematicas_ii/convocatoria_extraordinaria/matematicas_ii_2024_2025.pdf,exists,already present; use --overwrite to replace,5e1a2c7fd3b59836f8f8f789962ca10a720bfccd56ebfb5139fa9d2d0fca911b,530644
matematicas_ii,Convocatoria Extraordinaria,Matemáticas II 2023-2024,https://drive.google.com/file/d/1Og5VVTfkkbnerHRRFNe2jjr4Ww5tsEYl/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1Og5VVTfkkbnerHRRFNe2jjr4Ww5tsEYl,examenes_pau/matematicas/matematicas_ii/convocatoria_extraordinaria/matematicas_ii_2023_2024.pdf,exists,already present; use --overwrite to replace,6009a73763975ec9d6ee7a8b6913c9c3872e35ba769b2e795b2e8d3eff0448d6,549834
matematicas_ii,Convocatoria Extraordinaria,Matemáticas II 2022-2023,https://drive.google.com/file/d/1QY-915QoWxoi1B8mUaxD542WcboZw0rd/view?usp=drive_link,https://drive.google.com/uc?export=download&id=1QY-915QoWxoi1B8mUaxD542WcboZw0rd,examenes_pau/matematicas/matematicas_ii/convocatoria_extraordinaria/matematicas_ii_2022_2023.pdf,exists,already present; use --overwrite to replace,ecb78d09608bd850aaa0de06eed7ef84133787f707c39e5119451003aeaf1b45,231717
matematicas_ii,Convocatoria Extraordinaria,Matemáticas II 2021-2022 coincidencias,https://drive.google.com/file/d/1T7fca9BdXDqK-92jdGRZ9uxpe7bU4t9-/view?usp=sharing,https://drive.google.com/uc?export=download&id=1T7fca9BdXDqK-92jdGRZ9uxpe7bU4t9-,examenes_pau/matematicas/matematicas_ii/convocatoria_extraordinaria/matematicas_ii_2021_2022_coincidencias.pdf,exists,already present; use --overwrite to replace,81177113d5908cb3165274818dd05bb6637d1376125272a6aca9364764df45db,235277
matematicas_ii,Convocatoria Extraordinaria,Matemáticas II 2021-2022,https://drive.google.com/file/d/1T7fca9BdXDqK-92jdGRZ9uxpe7bU4t9-/view?usp=sharing,https://drive.google.com/uc?export=download&id=1T7fca9BdXDqK-92jdGRZ9uxpe7bU4t9-,examenes_pau/matematicas/matematicas_ii/convocatoria_extraordinaria/matematicas_ii_2021_2022.pdf,exists,already present; use --overwrite to replace,81177113d5908cb3165274818dd05bb6637d1376125272a6aca9364764df45db,235277
matematicas_ii,Convocatoria Extraordinaria,Matemáticas II 2020-2021,https://drive.google.com/file/d/1Bc-8Fys25r7B4LwIjbAm7no3ok8gGc7o/view?usp=sharing,https://drive.google.com/uc?export=download&id=1Bc-8Fys25r7B4LwIjbAm7no3ok8gGc7o,examenes_pau/matematicas/matematicas_ii/convocatoria_extraordinaria/matematicas_ii_2020_2021.pdf,exists,already present; use --overwrite to replace,cfb313cd9ddd1bb194521c4dde83c3e172125985d8403885183e3502b1d21ef8,241258
matematicas_ii,Convocatoria Extraordinaria,Matemáticas II 2019-2020,https://drive.google.com/file/d/13IVblyfBlDv8u4AMHfxxdariHvKl5882/view?usp=sharing,https://drive.google.com/uc?export=download&id=13IVblyfBlDv8u4AMHfxxdariHvKl5882,examenes_pau/matematicas/matematicas_ii/convocatoria_extraordinaria/matematicas_ii_2019_2020.pdf,exists,already present; use --overwrite to replace,865984d116808f0c75f116c7796e2be810aa63d55c19c0bb575cfcbaff831055,173046
matematicas_ii,Convocatoria Extraordinaria,Matemáticas II 2018-2019,https://drive.google.com/file/d/1EhZTeYsr4ixxQbkVEm8JyDaIo3p8nQHV/view?usp=sharing,https://drive.google.com/uc?export=download&id=1EhZTeYsr4ixxQbkVEm8JyDaIo3p8nQHV,examenes_pau/matematicas/matematicas_ii/convocatoria_extraordinaria/matematicas_ii_2018_2019.pdf,exists,already present; use --overwrite to replace,82fd451577fecc7822eaa2a48e93b1ed9d675bd4a633a0f51538c343c2325b01,189974
matematicas_ii,Convocatoria Extraordinaria,Matemáticas II 2017-2018,https://drive.google.com/file/d/1Jpd1Jm3t8wpmMfsP23JVE2PAARSEHS38/view?usp=sharing,https://drive.google.com/uc?export=download&id=1Jpd1Jm3t8wpmMfsP23JVE2PAARSEHS38,examenes_pau/matematicas/matematicas_ii/convocatoria_extraordinaria/matematicas_ii_2017_2018.pdf,exists,already present; use --overwrite to replace,b962037d6a8824eda91075c0818e17fcad0eac84086a1da30539bbea49add1bd,194563
